,station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
465,785830,99999,2008,6,24,82.9000015259,4,76.5,4.0,,,,,9.0,4.0,5.69999980927,4.0,8.0,,73.8000030518,False,,,0.0,,False,False,False,False,False,False
466,142360,99999,1998,4,8,61.2000007629,4,41.7000007629,4.0,1004.79998779,4.0,,,44.2999992371,4.0,3.40000009537,4.0,5.80000019073,,56.0999984741,True,,,0.0,,False,False,False,False,False,False
467,999999,12884,1969,6,29,85.5999984741,8,75.9000015259,8.0,1016.29998779,8.0,1016.40002441,8.0,12.3999996185,8.0,4.90000009537,8.0,7.0,,80.0999984741,True,,,0.0,,False,False,False,False,False,False
468,32810,99999,1993,10,24,43.0999984741,8,39.7999992371,8.0,1035.80004883,8.0,,,12.6999998093,8.0,9.10000038147,8.0,13.0,,35.7999992371,True,,,,,True,True,True,True,True,True
469,627720,99999,1963,3,18,78.0,4,39.2000007629,4.0,1010.70001221,4.0,,,12.3999996185,4.0,5.19999980927,4.0,8.89999961853,,64.0,False,,,0.0,,False,False,False,False,False,False
470,308440,99999,1969,7,19,71.1999969482,8,58.5999984741,8.0,997.5,8.0,,,24.1000003815,8.0,3.70000004768,8.0,9.89999961853,,57.0,False,,,0.119999997318,,False,False,False,False,False,False
471,101360,99999,1981,4,1,49.7999992371,24,42.2999992371,24.0,,,,,4.0,24.0,11.1000003815,24.0,15.0,,46.4000015259,True,,,0.0,,False,False,False,False,False,False
472,330670,99999,1979,10,16,58.0999984741,4,50.9000015259,4.0,1011.5,4.0,,,7.80000019073,4.0,4.90000009537,4.0,7.80000019073,,53.5999984741,True,,,0.0,,False,False,False,False,False,False
473,722552,99999,2006,12,15,55.9000015259,24,43.7999992371,24.0,,,,,6.69999980927,24.0,4.69999980927,24.0,13.0,15.8999996185,44.5999984741,True,,,,,False,False,False,False,False,False
474,31110,99999,1976,2,19,42.2000007629,24,37.2999992371,24.0,1011.40002441,24.0,,,5.30000019073,24.0,14.0,24.0,20.0,,37.4000015259,False,,,0.00999999977648,,False,False,False,False,False,False
475,710720,99999,1958,9,8,30.7000007629,4,30.2000007629,4.0,1011.90002441,4.0,,,5.09999990463,4.0,6.0,4.0,8.89999961853,,27.0,False,,,,,False,False,False,False,False,False
476,726770,24033,2001,11,15,51.0,24,29.0,24.0,1016.0,24.0,,,9.89999961853,24.0,9.89999961853,24.0,14.0,,39.0,False,,,0.0,,False,False,False,False,False,False
477,566710,99999,2007,2,14,50.7000007629,7,42.4000015259,7.0,,,820.599975586,7.0,18.6000003815,7.0,3.09999990463,7.0,9.69999980927,,37.4000015259,False,,,0.300000011921,,False,False,False,False,False,False
478,357560,99999,1968,6,27,88.0,5,39.4000015259,5.0,1004.79998779,5.0,,,23.6000003815,5.0,7.59999990463,5.0,14.0,,75.0,False,,,0.0,,False,False,False,False,False,False
479,999999,93815,1957,4,15,38.9000015259,24,21.7000007629,24.0,1029.59997559,24.0,992.099975586,24.0,12.1999998093,24.0,6.59999990463,24.0,12.0,,28.8999996185,True,,,0.0,,False,False,False,False,False,False
480,717360,99999,1996,1,10,-5.30000019073,4,-11.6000003815,4.0,1015.59997559,4.0,980.700012207,4.0,,,5.09999990463,4.0,7.0,,-14.3000001907,False,,,0.0,,False,False,False,False,False,False
481,76780,99999,1986,5,23,70.5,5,63.2999992371,5.0,1019.79998779,5.0,,,11.3999996185,5.0,5.40000009537,5.0,12.0,,62.2000007629,False,,,0.0,,False,False,False,False,False,False
482,943880,99999,1975,11,24,77.0,4,72.0999984741,4.0,1012.59997559,4.0,,,12.3999996185,4.0,8.89999961853,4.0,9.89999961853,,75.1999969482,True,,,0.0,,False,False,False,False,False,False
483,724285,13812,1974,3,4,67.0,24,52.0,24.0,1007.40002441,8.0,,,10.8999996185,24.0,17.0,24.0,32.7999992371,44.9000015259,62.0999984741,True,,,0.0,,False,False,False,False,False,False
484,722747,99999,1988,9,25,70.3000030518,24,45.9000015259,24.0,,,,,,,2.59999990463,22.0,6.0,,52.0,True,,,0.0,,False,False,False,False,False,False
485,266590,99999,2007,2,8,-2.70000004768,8,-7.40000009537,8.0,1016.5,8.0,993.0,8.0,5.5,8.0,2.40000009537,8.0,3.90000009537,,-13.0,False,,,0.0,7.90000009537,False,False,False,False,False,False
486,347470,99999,1993,3,31,42.2000007629,7,37.2000007629,7.0,1027.90002441,6.0,,,9.80000019073,7.0,6.40000009537,7.0,7.80000019073,,36.5,False,,,0.0,,False,False,False,False,False,False
